model,fold,seed,train_wall_clock_s,soh_rmse,soh_mae,soh_mape,soc_rmse,soc_mae,soc_mape,rul_rmse,rul_mae,rul_mape,rt_corr_post_rest
CoulombCounting,B0005,42,0.0,,,,,,,,,,
CoulombCounting,B0005,43,0.0,,,,,,,,,,
CoulombCounting,B0005,44,0.0,,,,,,,,,,
EKF_1RC,B0005,42,0.0,,,,,,,,,,
EKF_1RC,B0005,43,0.0,,,,,,,,,,
EKF_1RC,B0005,44,0.0,,,,,,,,,,
RandomForest,B0005,42,2.125,0.024612310005962926,0.022664711956172433,2.9868785724020945,,,,12.121399888125092,9.19182588922321,36.56576443336325,
RandomForest,B0005,43,1.1869999999980791,0.025145298609511858,0.022809993793522304,3.016673194647816,,,,12.287540676256597,9.131523594461095,36.05029640378433,
RandomForest,B0005,44,1.1719999999986612,0.024387637228219617,0.022245049966387386,2.9321163358308366,,,,12.489001040191813,9.27137828540507,39.279675188473675,
XGBoost,B0005,42,3.0939999999973224,0.027706879718920937,0.02555275382355087,3.397655382898708,,,,13.160493234939045,8.633929379993962,40.626853915470676,
XGBoost,B0005,43,1.110000000000582,0.022469432716352204,0.020056014601249558,2.6845409139392524,,,,13.720502977349357,8.831627200047174,32.83384743545473,
XGBoost,B0005,44,1.0,0.024194150240887637,0.021658977420216722,2.90882349124934,,,,15.306618850847054,10.171040719463711,39.49658671024448,
VanillaLSTM,B0005,42,13.860000000000582,0.02494844949114862,0.021503892254047828,2.830470670194184,,,,,,,
VanillaLSTM,B0005,43,10.187999999994645,0.0250170535249562,0.020322242071652286,2.477731763497412,,,,,,,
VanillaLSTM,B0005,44,10.031000000002678,0.04353670757584466,0.03655110704432629,4.49462122734605,,,,,,,
StatDecomp,B0005,42,0.0,0.10033365332588434,0.08681295712263692,10.781428111731216,,,,,,,
StatDecomp,B0005,43,0.0,0.10033365332588434,0.08681295712263692,10.781428111731216,,,,,,,
StatDecomp,B0005,44,0.0,0.10033365332588434,0.08681295712263692,10.781428111731216,,,,,,,
PI-MDCNet,B0005,42,11.639999999999418,0.05163882078870327,0.03760277183868429,5.140734223592996,,,,49.91542741889003,35.72072089969197,71.46241180645137,0.22627892240862033
PI-MDCNet,B0005,43,10.75,0.04613285316691874,0.0355980605476644,4.779561066517185,,,,51.82935073109384,37.090181006254774,74.51129264341108,0.05017431020585361
PI-MDCNet,B0005,44,10.719000000004598,0.0502461019622822,0.03688076115207452,5.019083002068449,,,,52.07333565754361,37.612971684737765,75.52614264235572,0.4189693909454858
CoulombCounting,B0006,42,0.0,,,,,,,,,,
CoulombCounting,B0006,43,0.0,,,,,,,,,,
CoulombCounting,B0006,44,0.0,,,,,,,,,,
EKF_1RC,B0006,42,0.01600000000325963,,,,,,,,,,
EKF_1RC,B0006,43,0.0,,,,,,,,,,
EKF_1RC,B0006,44,0.0,,,,,,,,,,
RandomForest,B0006,42,1.1869999999980791,0.04047038552342803,0.034467501878188186,4.509291255535612,,,,13.532433218965116,8.8270220143613,44.928656732916245,
RandomForest,B0006,43,1.1719999999986612,0.04077540316184901,0.03462977931059339,4.528908133167626,,,,13.415781512859878,8.773892193619872,44.19581008908401,
RandomForest,B0006,44,1.187999999994645,0.04080717767025388,0.03478832715459082,4.551200913469294,,,,13.369190165908076,8.718071050642479,44.70644365655233,
XGBoost,B0006,42,1.2660000000032596,0.042034522500849714,0.0364548048740956,4.7688414350997705,,,,12.522844720164036,8.621955840665448,43.23782746950256,
XGBoost,B0006,43,1.7029999999940628,0.040789634331880924,0.03509053183081663,4.622317327317024,,,,11.807747100965805,8.009652953362092,41.03605585523872,
XGBoost,B0006,44,1.375,0.040793820697773736,0.03504720122232932,4.607971471333666,,,,12.114502310613076,8.176432202473128,40.77831715729542,
VanillaLSTM,B0006,42,10.343000000000757,0.0564238202233658,0.04375356257262873,6.270061249239162,,,,,,,
VanillaLSTM,B0006,43,9.968999999997322,0.0461047658032099,0.0381638673881477,5.087913242824876,,,,,,,
VanillaLSTM,B0006,44,18.95300000000134,0.03879406470837518,0.030854893572045856,4.298949030334534,,,,,,,
StatDecomp,B0006,42,0.0,0.12567979114278885,0.09579747868618667,11.419698833827004,,,,13.436403266105033,11.329511765836632,79.51939213587909,
StatDecomp,B0006,43,0.0,0.12567979114278885,0.09579747868618667,11.419698833827004,,,,13.436403266105033,11.329511765836632,79.51939213587909,
StatDecomp,B0006,44,0.0,0.12567979114278885,0.09579747868618667,11.419698833827004,,,,13.436403266105033,11.329511765836632,79.51939213587909,
PI-MDCNet,B0006,42,44.171000000002095,0.06679784626008824,0.05246200355045644,7.553892967320664,,,,38.82687260498255,26.29454707320145,76.63576937388729,-0.9604138570329974
PI-MDCNet,B0006,43,7.360000000000582,0.07865061256048159,0.05779467001051234,8.519094152738308,,,,41.00330731079089,27.610406799644394,76.5295756834223,-0.51371824080813
PI-MDCNet,B0006,44,5.671999999998661,0.0690575246348254,0.05263546036707526,7.637676437922619,,,,41.001687906957294,28.238685635761136,77.53936552126365,-0.9645506467528162
CoulombCounting,B0007,42,0.0,,,,,,,,,,
CoulombCounting,B0007,43,0.0,,,,,,,,,,
CoulombCounting,B0007,44,0.0,,,,,,,,,,
EKF_1RC,B0007,42,0.01599999999598367,,,,,,,,,,
EKF_1RC,B0007,43,0.0,,,,,,,,,,
EKF_1RC,B0007,44,0.0,,,,,,,,,,
RandomForest,B0007,42,0.5619999999980791,0.02550714231077665,0.020729072194590942,2.4415664524656098,,,,,,,
