fold,seed,rmse,mae,max_err,timesteps,cycles
B0005,42,0.027963902801275253,0.022265642881393433,0.06692609190940857,50285,168
B0005,43,0.027091236785054207,0.021282345056533813,0.06541505455970764,50285,168
B0005,44,0.026546595618128777,0.02115984819829464,0.06448143720626831,50285,168
B0006,42,0.051697805523872375,0.041391558945178986,0.1142541766166687,50285,168
B0006,43,0.0506143644452095,0.040259089320898056,0.10882604122161865,50285,168
B0006,44,0.0515725277364254,0.040768589824438095,0.11383369565010071,50285,168
B0007,42,0.014982699416577816,0.01011679321527481,0.06800061464309692,50285,168
B0007,43,0.014241236262023449,0.00921150203794241,0.06663411855697632,50285,168
B0007,44,0.014254978857934475,0.009834490716457367,0.06629511713981628,50285,168
B0018,42,0.016491329297423363,0.013614960946142673,0.06130850315093994,34866,132
B0018,43,0.01667109690606594,0.013789630495011806,0.04796791076660156,34866,132
B0018,44,0.015662269666790962,0.013171693310141563,0.04292455315589905,34866,132
